verticalAnglesArray,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,,
horizontalAnglesArray,0,30,60,90,120,150,180,210,240,270,300,330,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
candelaValuesTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,,
0,26061.75,25870.27,25929.16,25979.631,26235.83,26375.01,26714.57,27067.881,27538.211,27994.77,28491.869,28971.369,29508.23,29999.971,30380.82,30773.141,31100.461,31325.301,31534.08,31579.199,31721.439,31816.27,31848.391,31752.801,31167.76,30572.01,30054.27,29496,29044.02,28716.711,28530.1,28495.689,28510.99,28684.59,28854.359,29080.73,29331.57,29486.051,29441.699,29521.23,29450.869,29592.35,29685.66,29742.25,29950.26,30006.09,30037.439,30032.09,30019.09,30090.98,29976.26,29452.4,29079.971,28772.529,28758.77,28693.76,28858.189,29005.779,29104.439,29198.5,29187.801,28451.33,27774.52,27082.42,26384.189,25637.789,24914.32,24122.801,23411.57,22686.58,21886.641,21516.5,21117.289,20731.859,20271.471,19969.391,19797.32,19573.25,19397.35,19262.75,19206.93,19099.859,19097.57,19060.859,18644.061,17953.49,17131.369,16424.73,16157.07,15607.2,15533.02,,
30,26061.75,26356.66,26376.539,26391.84,26536.381,26687.029,26898.109,27201.721,27532.09,27951.18,28403.92,28781.711,29203.859,29645.891,30141.449,30549.83,30857.27,31163.93,31449.189,31598.32,31686.27,31741.33,31776.51,31810.16,31837.689,31786.449,31564.67,31157.82,30673.721,30179.689,29539.59,28971.369,28587.461,28228.02,27994.01,27907.59,27750.811,27769.17,27759.99,27753.869,27676.631,27642.221,27540.51,27392.91,27139.01,27023.529,26896.58,26820.869,26732.16,26610.561,26509.609,26416.311,26267.949,26124.939,25971.99,25659.961,25220.99,24980.859,24778.961,24529.65,24327.75,24174.039,23965.26,23657.82,23343.51,22826.529,22344.73,21865.99,21342.9,20827.449,20338,19723.141,19304.811,18963.73,18642.529,18305.27,18140.85,17932.07,17860.18,17752.35,17620.82,17502.279,17346.27,17055.66,16863.699,16617.449,16148.65,15689.03,15435.13,15326.54,15281.42,,
60,26061.75,26612.85,26611.32,26632.74,26660.27,26694.68,26740.57,26748.221,26898.869,26913.4,27025.061,27142.07,27245.311,27399.029,27571.859,27759.23,27903,28013.891,28086.539,28152.311,28166.84,28209.67,28200.49,28110.25,28011.6,27886.939,27680.461,27469.381,27186.42,26884.34,26479.02,26084.4,25626.311,25172.811,24738.43,24341.52,23940.02,23521.699,23108.73,22667.461,22196.369,21814.75,21336.779,20903.16,20486.369,20069.57,19681.84,19275.75,18930.08,18602,18260.15,17932.84,17639.17,17356.211,17106.9,16871.35,16628.92,16449.971,16236.6,16050.76,15917.7,15787.69,15640.09,15484.08,15373.95,15213.35,15082.58,14895.21,14671.9,14415.71,14094.51,13816.14,13530.88,13214.27,12882.37,12500.75,12106.14,11661.05,11206.78,10677.57,10188.89,9743.03,9239.06,8722.84,8237.99,7842.6,7554.29,7365.4,7237.68,7101.55,6976.13,,
90,26061.75,25870.27,25929.16,25979.631,26235.83,26375.01,26714.57,27067.881,27538.211,27994.77,28491.869,28971.369,29508.23,29999.971,30380.82,30773.141,31100.461,31325.301,31534.08,31579.199,31721.439,31816.27,31848.391,31752.801,31167.76,30572.01,30054.27,29496,29044.02,28716.711,28530.1,28495.689,28510.99,28684.59,28854.359,29080.73,29331.57,29486.051,29441.699,29521.23,29450.869,29592.35,29685.66,29742.25,29950.26,30006.09,30037.439,30032.09,30019.09,30090.98,29976.26,29452.4,29079.971,28772.529,28758.77,28693.76,28858.189,29005.779,29104.439,29198.5,29187.801,28451.33,27774.52,27082.42,26384.189,25637.789,24914.32,24122.801,23411.57,22686.58,21886.641,21516.5,21117.289,20731.859,20271.471,19969.391,19797.32,19573.25,19397.35,19262.75,19206.93,19099.859,19097.57,19060.859,18644.061,17953.49,17131.369,16424.73,16157.07,15607.2,15533.02,,
120,26061.75,26356.66,26376.539,26391.84,26536.381,26687.029,26898.109,27201.721,27532.09,27951.18,28403.92,28781.711,29203.859,29645.891,30141.449,30549.83,30857.27,31163.93,31449.189,31598.32,31686.27,31741.33,31776.51,31810.16,31837.689,31786.449,31564.67,31157.82,30673.721,30179.689,29539.59,28971.369,28587.461,28228.02,27994.01,27907.59,27750.811,27769.17,27759.99,27753.869,27676.631,27642.221,27540.51,27392.91,27139.01,27023.529,26896.58,26820.869,26732.16,26610.561,26509.609,26416.311,26267.949,26124.939,25971.99,25659.961,25220.99,24980.859,24778.961,24529.65,24327.75,24174.039,23965.26,23657.82,23343.51,22826.529,22344.73,21865.99,21342.9,20827.449,20338,19723.141,19304.811,18963.73,18642.529,18305.27,18140.85,17932.07,17860.18,17752.35,17620.82,17502.279,17346.27,17055.66,16863.699,16617.449,16148.65,15689.03,15435.13,15326.54,15281.42,,
150,26061.75,26612.85,26611.32,26632.74,26660.27,26694.68,26740.57,26748.221,26898.869,26913.4,27025.061,27142.07,27245.311,27399.029,27571.859,27759.23,27903,28013.891,28086.539,28152.311,28166.84,28209.67,28200.49,28110.25,28011.6,27886.939,27680.461,27469.381,27186.42,26884.34,26479.02,26084.4,25626.311,25172.811,24738.43,24341.52,23940.02,23521.699,23108.73,22667.461,22196.369,21814.75,21336.779,20903.16,20486.369,20069.57,19681.84,19275.75,18930.08,18602,18260.15,17932.84,17639.17,17356.211,17106.9,16871.35,16628.92,16449.971,16236.6,16050.76,15917.7,15787.69,15640.09,15484.08,15373.95,15213.35,15082.58,14895.21,14671.9,14415.71,14094.51,13816.14,13530.88,13214.27,12882.37,12500.75,12106.14,11661.05,11206.78,10677.57,10188.89,9743.03,9239.06,8722.84,8237.99,7842.6,7554.29,7365.4,7237.68,7101.55,6976.13,,
180,26061.75,25870.27,25929.16,25979.631,26235.83,26375.01,26714.57,27067.881,27538.211,27994.77,28491.869,28971.369,29508.23,29999.971,30380.82,30773.141,31100.461,31325.301,31534.08,31579.199,31721.439,31816.27,31848.391,31752.801,31167.76,30572.01,30054.27,29496,29044.02,28716.711,28530.1,28495.689,28510.99,28684.59,28854.359,29080.73,29331.57,29486.051,29441.699,29521.23,29450.869,29592.35,29685.66,29742.25,29950.26,30006.09,30037.439,30032.09,30019.09,30090.98,29976.26,29452.4,29079.971,28772.529,28758.77,28693.76,28858.189,29005.779,29104.439,29198.5,29187.801,28451.33,27774.52,27082.42,26384.189,25637.789,24914.32,24122.801,23411.57,22686.58,21886.641,21516.5,21117.289,20731.859,20271.471,19969.391,19797.32,19573.25,19397.35,19262.75,19206.93,19099.859,19097.57,19060.859,18644.061,17953.49,17131.369,16424.73,16157.07,15607.2,15533.02,,
210,26061.75,26356.66,26376.539,26391.84,26536.381,26687.029,26898.109,27201.721,27532.09,27951.18,28403.92,28781.711,29203.859,29645.891,30141.449,30549.83,30857.27,31163.93,31449.189,31598.32,31686.27,31741.33,31776.51,31810.16,31837.689,31786.449,31564.67,31157.82,30673.721,30179.689,29539.59,28971.369,28587.461,28228.02,27994.01,27907.59,27750.811,27769.17,27759.99,27753.869,27676.631,27642.221,27540.51,27392.91,27139.01,27023.529,26896.58,26820.869,26732.16,26610.561,26509.609,26416.311,26267.949,26124.939,25971.99,25659.961,25220.99,24980.859,24778.961,24529.65,24327.75,24174.039,23965.26,23657.82,23343.51,22826.529,22344.73,21865.99,21342.9,20827.449,20338,19723.141,19304.811,18963.73,18642.529,18305.27,18140.85,17932.07,17860.18,17752.35,17620.82,17502.279,17346.27,17055.66,16863.699,16617.449,16148.65,15689.03,15435.13,15326.54,15281.42,,
240,26061.75,26612.85,26611.32,26632.74,26660.27,26694.68,26740.57,26748.221,26898.869,26913.4,27025.061,27142.07,27245.311,27399.029,27571.859,27759.23,27903,28013.891,28086.539,28152.311,28166.84,28209.67,28200.49,28110.25,28011.6,27886.939,27680.461,27469.381,27186.42,26884.34,26479.02,26084.4,25626.311,25172.811,24738.43,24341.52,23940.02,23521.699,23108.73,22667.461,22196.369,21814.75,21336.779,20903.16,20486.369,20069.57,19681.84,19275.75,18930.08,18602,18260.15,17932.84,17639.17,17356.211,17106.9,16871.35,16628.92,16449.971,16236.6,16050.76,15917.7,15787.69,15640.09,15484.08,15373.95,15213.35,15082.58,14895.21,14671.9,14415.71,14094.51,13816.14,13530.88,13214.27,12882.37,12500.75,12106.14,11661.05,11206.78,10677.57,10188.89,9743.03,9239.06,8722.84,8237.99,7842.6,7554.29,7365.4,7237.68,7101.55,6976.13,,
270,26061.75,25870.27,25929.16,25979.631,26235.83,26375.01,26714.57,27067.881,27538.211,27994.77,28491.869,28971.369,29508.23,29999.971,30380.82,30773.141,31100.461,31325.301,31534.08,31579.199,31721.439,31816.27,31848.391,31752.801,31167.76,30572.01,30054.27,29496,29044.02,28716.711,28530.1,28495.689,28510.99,28684.59,28854.359,29080.73,29331.57,29486.051,29441.699,29521.23,29450.869,29592.35,29685.66,29742.25,29950.26,30006.09,30037.439,30032.09,30019.09,30090.98,29976.26,29452.4,29079.971,28772.529,28758.77,28693.76,28858.189,29005.779,29104.439,29198.5,29187.801,28451.33,27774.52,27082.42,26384.189,25637.789,24914.32,24122.801,23411.57,22686.58,21886.641,21516.5,21117.289,20731.859,20271.471,19969.391,19797.32,19573.25,19397.35,19262.75,19206.93,19099.859,19097.57,19060.859,18644.061,17953.49,17131.369,16424.73,16157.07,15607.2,15533.02,,
300,26061.75,26356.66,26376.539,26391.84,26536.381,26687.029,26898.109,27201.721,27532.09,27951.18,28403.92,28781.711,29203.859,29645.891,30141.449,30549.83,30857.27,31163.93,31449.189,31598.32,31686.27,31741.33,31776.51,31810.16,31837.689,31786.449,31564.67,31157.82,30673.721,30179.689,29539.59,28971.369,28587.461,28228.02,27994.01,27907.59,27750.811,27769.17,27759.99,27753.869,27676.631,27642.221,27540.51,27392.91,27139.01,27023.529,26896.58,26820.869,26732.16,26610.561,26509.609,26416.311,26267.949,26124.939,25971.99,25659.961,25220.99,24980.859,24778.961,24529.65,24327.75,24174.039,23965.26,23657.82,23343.51,22826.529,22344.73,21865.99,21342.9,20827.449,20338,19723.141,19304.811,18963.73,18642.529,18305.27,18140.85,17932.07,17860.18,17752.35,17620.82,17502.279,17346.27,17055.66,16863.699,16617.449,16148.65,15689.03,15435.13,15326.54,15281.42,,
330,26061.75,26612.85,26611.32,26632.74,26660.27,26694.68,26740.57,26748.221,26898.869,26913.4,27025.061,27142.07,27245.311,27399.029,27571.859,27759.23,27903,28013.891,28086.539,28152.311,28166.84,28209.67,28200.49,28110.25,28011.6,27886.939,27680.461,27469.381,27186.42,26884.34,26479.02,26084.4,25626.311,25172.811,24738.43,24341.52,23940.02,23521.699,23108.73,22667.461,22196.369,21814.75,21336.779,20903.16,20486.369,20069.57,19681.84,19275.75,18930.08,18602,18260.15,17932.84,17639.17,17356.211,17106.9,16871.35,16628.92,16449.971,16236.6,16050.76,15917.7,15787.69,15640.09,15484.08,15373.95,15213.35,15082.58,14895.21,14671.9,14415.71,14094.51,13816.14,13530.88,13214.27,12882.37,12500.75,12106.14,11661.05,11206.78,10677.57,10188.89,9743.03,9239.06,8722.84,8237.99,7842.6,7554.29,7365.4,7237.68,7101.55,6976.13,,
360,26061.75,25870.27,25929.16,25979.631,26235.83,26375.01,26714.57,27067.881,27538.211,27994.77,28491.869,28971.369,29508.23,29999.971,30380.82,30773.141,31100.461,31325.301,31534.08,31579.199,31721.439,31816.27,31848.391,31752.801,31167.76,30572.01,30054.27,29496,29044.02,28716.711,28530.1,28495.689,28510.99,28684.59,28854.359,29080.73,29331.57,29486.051,29441.699,29521.23,29450.869,29592.35,29685.66,29742.25,29950.26,30006.09,30037.439,30032.09,30019.09,30090.98,29976.26,29452.4,29079.971,28772.529,28758.77,28693.76,28858.189,29005.779,29104.439,29198.5,29187.801,28451.33,27774.52,27082.42,26384.189,25637.789,24914.32,24122.801,23411.57,22686.58,21886.641,21516.5,21117.289,20731.859,20271.471,19969.391,19797.32,19573.25,19397.35,19262.75,19206.93,19099.859,19097.57,19060.859,18644.061,17953.49,17131.369,16424.73,16157.07,15607.2,15533.02,,
